num_citations,title,authors,year,url
54,Towards deep neural network architectures robust to adversarial examples,S Gu,2014,https://arxiv.org/abs/1412.5068
52,Autoencoder networks for HIV classification,T Marwala,2006,http://www.iisc.ernet.in/currsci/dec102006/1467.pdf
52,Using deep learning to enhance cancer diagnosis and classification,R Fakoor & A Nazi,2013,http://matlabproject.ir/forms/files/392437.pdf
50,Latent feature representation with stacked auto-encoder for AD/MCI diagnosis,HI Suk & D Shen,2015,http://link.springer.com/article/10.1007/s00429-013-0687-3
50,Learning deep energy models,Z Chen & PW Koh,2011,http://machinelearning.wustl.edu/mlpapers/paper_files/ICML2011Ngiam_557.pdf
47,Conditional image generation with pixelcnn decoders,A van den Oord et al.,2016,http://papers.nips.cc/paper/6527-conditional-image-generation-with-pixelcnn-decoders
46,Implicit learning in autoencoder novelty assessment,BB Thompson & RJ Marks,2002,http://ieeexplore.ieee.org/abstract/document/1007605/
46,Autoextend: Extending word embeddings to embeddings for synsets and lexemes,S Rothe,2015,https://arxiv.org/abs/1507.01127
45,Reverberant speech recognition based on denoising autoencoder.,,2013,https://wiki.inf.ed.ac.uk/twiki/pub/CSTR/ListenSemester1201314/IS130923.PDF
44,Gradient-based learning of higher-order image features,R Memisevic,2011,http://ieeexplore.ieee.org/abstract/document/6126419/
44,Diagnosing faults in power transformers with autoassociative neural networks and mean shift,S Lima,2012,http://ieeexplore.ieee.org/abstract/document/6176288/
44,A recursive recurrent neural network for statistical machine translation,S Liu & N Yang,2014,https://www.microsoft.com/en-us/research/publication/a-recursive-recurrent-neural-network-for-statistical-machine-translation/
44,Input reconstruction reliability estimation,,1993,https://papers.nips.cc/paper/631-input-reconstruction-reliability-estimation.pdf
43,Multimodal deep autoencoder for human pose recovery,D Tao,2015,http://ieeexplore.ieee.org/abstract/document/7293666/
43,The divergent autoencoder (DIVA) model of category learning,KJ Kurtz,2007,http://www.springerlink.com/index/P1210185V746NM0N.pdf
43,Modeling infant speech sound discrimination using simple associative networks,D Mareschal,2001,http://www.tandfonline.com/doi/abs/10.1207/S15327078IN0201_2
42,Classifying user environment for mobile applications using linear autoencoding of ambient audio,A Waibel,2005,http://ieeexplore.ieee.org/abstract/document/1416352/
42,Deep networks for image retrieval on large-scale databases,R Lienhart,2008,http://dl.acm.org/citation.cfm?id=1459449
42,Autoencoder-based unsupervised domain adaptation for speech emotion recognition,J Deng et al.,2014,http://ieeexplore.ieee.org/abstract/document/6817520/
41,Learning Entity Representation for Entity Disambiguation.,S Liu & L Zhang,2013,http://www.aclweb.org/website/old_anthology/P/P13/P13-2.pdf#page=78
40,Labels as features (not names) for infant categorization: A neurocomputational approach,J Mayor,2009,http://onlinelibrary.wiley.com/doi/10.1111/j.1551-6709.2009.01026.x/full
40,Wiener filtering based speech enhancement with weighted denoising auto-encoder and noise classification,B Xia,2014,http://www.sciencedirect.com/science/article/pii/S0167639314000132
39,Deep belief networks for real-time extraction of tongue contours from ultrasound during speech,I Fasel & J Berry,2010,http://ieeexplore.ieee.org/abstract/document/5597284/
38,Oscillatory stability assessment of power systems using computational intelligence,,2005,http://duepublico.uni-duisburg-essen.de/servlets/DerivateServlet/Derivate-5634/Teeuwsen.pdf
38,Identification of network modules by optimization of ratio association,S Boccaletti & D Marinazzo,2007,http://aip.scitation.org/doi/abs/10.1063/1.2732162
37,Learning structured output representation using deep conditional generative models,K Sohn et al.,2015,http://papers.nips.cc/paper/5775-learning-structured-output-representation-using-deep-conditional-generative-models
37,Stacked sparse autoencoder (SSAE) for nuclei detection on breast cancer histopathology images,J Xu & L Xiang,2016,http://ieeexplore.ieee.org/abstract/document/7163353/
35,Early diagnosis of Alzheimer's disease with deep learning,S Liu et al.,2014,http://ieeexplore.ieee.org/abstract/document/6868045/
35,Incentivizing exploration in reinforcement learning with deep predictive models,S Levine & P Abbeel,2015,https://arxiv.org/abs/1507.00814
34,Visualizing and understanding neural models in nlp,J Li et al.,2015,https://arxiv.org/abs/1506.01066
33,Conditional generative adversarial nets for convolutional face generation,J Gauthier,2014,https://pdfs.semanticscholar.org/42f6/f5454dda99d8989f9814989efd50fe807ee8.pdf
33,Deep learning of scene-specific classifier for pedestrian detection,X Zeng et al.,2014,http://link.springer.com/chapter/10.1007/978-3-319-10578-9_31
32,Discovering hidden factors of variation in deep networks,B Cheung & JA Livezey,2014,https://arxiv.org/abs/1412.6583
32,Conditional random field autoencoders for unsupervised structured prediction,W Ammar et al.,2014,http://papers.nips.cc/paper/5344-inferring-sparse-representations-of-continuous-signals-with-continuous-orthogonal-matching-pursuit.pdf
31,MADE: Masked Autoencoder for Distribution Estimation.,M Germain et al.,2015,http://www.jmlr.org/proceedings/papers/v37/germain15.pdf
30,Deepshape: Deep learned shape descriptor for 3d shape matching and retrieval,J Xie et al.,2015,http://www.cv-foundation.org/openaccess/content_cvpr_2015/html/Xie_DeepShape_Deep_Learned_2015_CVPR_paper.html
30,Lung nodule classification using deep features in CT images,D Kumar et al.,2015,http://ieeexplore.ieee.org/abstract/document/7158331/
29,Single sample face recognition via learning deep supervised autoencoders,S Gao et al.,2015,http://ieeexplore.ieee.org/abstract/document/7124463/
29,Winner-take-all autoencoders,A Makhzani & BJ Frey,2015,http://papers.nips.cc/paper/5783-winner-take-all-autoencoders
29,The IBM 2011 GALE Arabic speech transcription system,L Mangu et al.,2011,http://ieeexplore.ieee.org/abstract/document/6163943/
28,Spatio-temporal video autoencoder with differentiable memory,V Patraucean et al.,2015,https://arxiv.org/abs/1511.06309
28,Spatio-Temporal Convolutional Sparse Auto-Encoder for Sequence Classification.,M Baccouche et al.,2012,http://www.bmva.org/bmvc/2012/BMVC/paper124/paper124.pdf
28,3D object retrieval with stacked local convolutional autoencoder,B Leng,2015,http://www.sciencedirect.com/science/article/pii/S0165168414004150
28,The importance of starting blurry: Simulating improved basic-level category learning in infants due to weak visual acuity,RM French et al.,2002,https://pdfs.semanticscholar.org/be01/bb5b7782a64335f858de92d9dca33566a1bc.pdf
28,Generating images with recurrent adversarial networks,DJ Im et al.,2016,https://arxiv.org/abs/1602.05110
27,The IM Algorithm: A Variational Approach to Information Maximization.,,2003,https://papers.nips.cc/paper/2410-information-maximization-in-noisy-channels-a-variational-approach.pdf
27,Neural network based multi-dimensional feature forecasting for bad data detection and feature restoration in power systems,,2006,http://ieeexplore.ieee.org/abstract/document/1709132/
27,Large-scale learning of embeddings with reconstruction sampling,X Glorot et al.,2011,http://machinelearning.wustl.edu/mlpapers/paper_files/ICML2011Dauphin_491.pdf
27,On the contractive nature of autoencoders: Application to missing sensor restoration,BB Thompson & RJ Marks,2003,http://ieeexplore.ieee.org/abstract/document/1224051/
26,Autorec: Autoencoders meet collaborative filtering,S Sedhain et al.,2015,http://dl.acm.org/citation.cfm?id=2742726
26,Deep learning representation using autoencoder for 3D shape retrieval,Z Zhu et al.,2016,http://www.sciencedirect.com/science/article/pii/S0925231216301047
26,Generalized autoencoder: A neural network framework for dimensionality reduction,Y Huang & L Wang,2014,http://www.cv-foundation.org/openaccess/content_cvpr_workshops_2014/W15/html/Wang_Generalized_Autoencoder_A_2014_CVPR_paper.html
25,Deep recurrent de-noising auto-encoder and blind de-reverberation for reverberated speech recognition,F Weninger et al.,2014,http://ieeexplore.ieee.org/abstract/document/6854478/
25,Unsupervised neural network based feature extraction using weak top-down constraints,H Kamper et al.,2015,http://ieeexplore.ieee.org/abstract/document/7179087/
24,Unsupervised learning of visual invariance with temporal coherence,WY Zou,2011,https://pdfs.semanticscholar.org/d435/6931e9b9e7fb5c9496e65c0d72c3541a6b3d.pdf
24,Deep autoencoder neural networks for gene ontology annotation predictions,D Chicco et al.,2014,http://dl.acm.org/citation.cfm?id=2649442
24,Learning a probabilistic latent space of object shapes via 3d generative-adversarial modeling,J Wu et al.,2016,http://papers.nips.cc/paper/6096-learning-a-probabilistic-latent-space-of-object-shapes-via-3d-generative-adversarial-modeling
24,Reversing category exclusivities in infant perceptual categorization: Simulations and data,RM French et al.,2001,http://books.google.com/books?hl=en&lr=&id=mJAclUVF8jIC&oi=fnd&pg=PA307&dq=autoencoder&ots=eR1PbIN9M6&sig=Xqp-BifnGCLka-VRdmw8yKREKZE
24,Saturating auto-encoders,R Goroshin & Y LeCun,2013,https://arxiv.org/abs/1301.3577
23,Nonparametric guidance of autoencoder representations using label information,J Snoek et al.,2012,http://www.jmlr.org/papers/v13/snoek12a.html
23,Ensemble deep learning for regression and time series forecasting,L Zhang & PN Suganthan,2014,http://ieeexplore.ieee.org/abstract/document/7015739/
23,Fault-tolerant optimal neurocontrol for a static synchronous series compensator connected to a power network,W Qiao,2008,http://ieeexplore.ieee.org/abstract/document/4439783/
22,Transfer learning for short-term wind speed prediction with deep neural networks,Q Hu,2016,http://www.sciencedirect.com/science/article/pii/S0960148115300574
22,Continuous on-line identification of nonlinear plants in power systems with missing sensor measurements,W Qiao,2005,http://ieeexplore.ieee.org/abstract/document/1556141/
22,Autoencoder for words,CY Liou,2014,http://www.sciencedirect.com/science/article/pii/S0925231214003658
22,Relational Stacked Denoising Autoencoder for Tag Recommendation.,H Wang & DY Yeung,2015,http://www.wanghao.in/paper/AAAI15_RSDAE.pdf
22,An auto-encoder based approach to unsupervised learning of subword units,L Badino et al.,2014,http://ieeexplore.ieee.org/abstract/document/6855085/
22,New supervised multi layer feed forward neural network model to accelerate classification with high accuracy,,2009,http://www.academia.edu/download/41663575/New_Supervised_Multi_Layer_Feed_Forward_20160128-2842-90in5i.pdf
22,K-sparse autoencoders,A Makhzani & B Frey,2013,https://arxiv.org/abs/1312.5663
22,Improved preconditioner for hessian free optimization,O Chapelle & D Erhan,2011,http://www.chapelle.cc/olivier/pub/precond.pdf
22,Predicting Alzheimer's disease: a neuroimaging study with 3D convolutional neural networks,,2015,https://arxiv.org/abs/1502.02506
22,Active learning in self-organizing maps,H Ritter,1999,http://books.google.com/books?hl=en&lr=&id=JsRXtwWjJPsC&oi=fnd&pg=PA57&dq=autoencoder&ots=cjNzrP27BO&sig=BuWrBIFLCnEQGMY0-gYQhwt_f-0
22,Predicting backbone Cα angles and dihedrals from protein sequences by stacked sparse auto‐encoder deep neural network,J Lyons et al.,2014,http://onlinelibrary.wiley.com/doi/10.1002/jcc.23718/full
22,Unsupervised pos induction with word embeddings,W Ammar & C Dyer,2015,https://arxiv.org/abs/1503.06760
22,From pixels to torques: Policy learning with deep dynamical models,N Wahlström et al.,2015,https://arxiv.org/abs/1502.02251
21,Sequential constant size compressors for reinforcement learning,L Gisslén & M Luciw,2011,http://link.springer.com/10.1007%2F978-3-642-22887-2_4
21,Who do i look like? determining parent-offspring resemblance via gated autoencoders,A Dehghan,2014,http://www.cv-foundation.org/openaccess/content_cvpr_2014/html/Dehghan_Who_Do_I_2014_CVPR_paper.html
21,New life for neural networks,GW Cottrell,2006,https://pdfs.semanticscholar.org/86a0/44e5ad180bd37877fa2241efa9c5252ee91e.pdf
21,Towards an auto-associative topology state estimator,J Krstulovic,2013,http://ieeexplore.ieee.org/abstract/document/6416996/
21,Hyperspectral image classification via contextual deep learning,,2015,http://link.springer.com/article/10.1186/s13640-015-0071-8
20,Reducing overfitting in deep networks by decorrelating representations,M Cogswell et al.,2015,https://arxiv.org/abs/1511.06068
20,Introducing shared-hidden-layer autoencoders for transfer learning and their application in acoustic emotion recognition,J Deng et al.,2014,http://ieeexplore.ieee.org/abstract/document/6854517/
20,Fuzzy artmap and neural network approach to online processing of inputs with missing values,FV Nelwamondo & T Marwala,2007,https://arxiv.org/abs/0705.1031
19,A feature learning based approach for automated fruit yield estimation,C Hung et al.,2015,http://link.springer.com/chapter/10.1007/978-3-319-07488-7_33
19,On autoencoder scoring.,R Memisevic,2013,http://www.jmlr.org/proceedings/papers/v28/kamyshanska13.pdf
19,Three ways to adapt a CTS recognizer to unseen reverberated speech in BUT system for the ASpIRE challenge,M Karafiát et al.,2015,
19,Electric power system anomaly detection using neural networks,E Tronci,2004,http://www.springerlink.com/index/RNHJ3C31X0QHRER1.pdf
19,Feature learning from incomplete EEG with denoising autoencoder,J Li et al.,2015,http://www.sciencedirect.com/science/article/pii/S0925231215004282
18,Deep collaborative filtering via marginalized denoising auto-encoder,S Li et al.,2015,http://dl.acm.org/citation.cfm?id=2806527
18,Genetic algorithms for evolving deep neural networks,,2014,http://dl.acm.org/citation.cfm?id=2602287
18,Breast tissue segmentation and mammographic risk scoring using deep learning,M Nielsen & N Karssemeijer,2014,http://link.springer.com/chapter/10.1007/978-3-319-07887-8_13
18,Continuous learning of human activity models using deep nets,M Hasan & AK Roy-Chowdhury,2014,http://link.springer.com/chapter/10.1007/978-3-319-10578-9_46
17,Unsupervised feature learning and deep learning,,2013,https://www.csee.umbc.edu/courses/graduate/678/fall14/visionaudio.pdf
17,Non-local auto-encoder with collaborative stabilization for image restoration,D Tao,2016,http://ieeexplore.ieee.org/abstract/document/7432028/
17,Localized sparse code gradient in alzheimer's disease staging,S Liu et al.,2013,http://ieeexplore.ieee.org/abstract/document/6610769/
17,Speech enhancement with weighted denoising auto-encoder.,B Xia,2013,http://lpp.ilpga.fr/PDF/IS130166/IS130166.PDF
16,A comparison of neural network methods for unsupervised representation learning on the zero resource speech challenge.,D Renshaw et al.,2015,http://www.kamperh.com/papers/renshaw+kamper+jansen+goldwater_interspeech2015.pdf
16,Deep extreme learning machine and its application in EEG classification,,2015,https://www.hindawi.com/journals/mpe/aa/129021/
16,Learning multilingual word representations using a bag-of-words autoencoder,H Larochelle,2014,https://arxiv.org/abs/1401.1803
16,The variational fair autoencoder,C Louizos et al.,2015,https://arxiv.org/abs/1511.00830
16,A novel approach for automatic acoustic novelty detection using a denoising autoencoder with bidirectional lstm neural networks,E Marchi & F Eyben,2015,http://ieeexplore.ieee.org/abstract/document/7178320/
16,Condition monitoring of HV bushings in the presence of missing data using evolutionary computing,FV Nelwamondo & T Marwala,2006,https://arxiv.org/abs/0705.2516
16,The potential energy of an autoencoder,R Memisevic,2015,http://ieeexplore.ieee.org/abstract/document/6918504/
15,Ensemble modeling of denoising autoencoder for speech spectrum restoration.,Y Tsao et al.,2014,http://193.6.4.39/~czap/letoltes/IS14/IS2014/PDF/AUTHOR/IS140700.PDF
15,Auto-encoder-based shared mid-level visual dictionary learning for scene classification using very high resolution remote sensing images,J Han,2015,http://digital-library.theiet.org/content/journals/10.1049/iet-cvi.2014.0270
15,Learning ordered representations with nested dropout,O Rippel et al.,2014,http://www.jmlr.org/proceedings/papers/v32/rippel14.html
15,Stochastic gradient VB and the variational auto-encoder,DP Kingma & M Welling,2014,http://dpkingma.com/wordpress/wp-content/uploads/2014/10/iclr14_vae.pdf
15,Modeling gender information for emotion recognition using denoising autoencoder,R Xia et al.,2014,http://ieeexplore.ieee.org/abstract/document/6853745/
15,One-class classification as a novel method of ligand-based virtual screening: The case of glycogen synthase kinase 3β inhibitors,DI Osolodkin & II Baskin,2011,http://www.sciencedirect.com/science/article/pii/S0960894X11012959
15,Unsupervised spectral–spatial feature learning with stacked sparse autoencoder for hyperspectral imagery classification,Y Li,2015,http://ieeexplore.ieee.org/abstract/document/7296592/
14,Binding representational spaces of colors and emotions for creativity,A Augello et al.,2013,http://www.sciencedirect.com/science/article/pii/S2212683X13000406
14,Deep Belief Networks for dimensionality reduction,AK Noulas & BJA Kröse,2008,http://dare.uva.nl/record/1/299995
14,Characterization of tissue histopathology via predictive sparse decomposition and spatial pyramid matching,H Chang et al.,2013,http://link.springer.com/chapter/10.1007/978-3-642-40763-5_12
14,Unseen noise estimation using separable deep auto encoder for speech enhancement,TF Zheng,2016,http://ieeexplore.ieee.org/abstract/document/7320993/
14,Deep neural network-based bottleneck feature and denoising autoencoder-based dereverberation for distant-talking speaker identification,L Wang,2015,https://asmp.eurasipjournals.springeropen.com/articles/10.1186/s13636-015-0056-7
14,A sparse auto-encoder-based deep neural network approach for induction motor faults classification,R Zhao et al.,2016,http://www.sciencedirect.com/science/article/pii/S0263224116300641
14,Llnet: A deep autoencoder approach to natural low-light image enhancement,KG Lore et al.,2017,http://www.sciencedirect.com/science/article/pii/S003132031630125X
14,Anomaly detection using autoencoders with nonlinear dimensionality reduction,,2014,http://dl.acm.org/citation.cfm?id=2689747
14,Structured prediction of 3D human pose with deep neural networks,B Tekin et al.,2016,https://arxiv.org/abs/1605.05180
14,Coupled deep autoencoder for single image super-resolution,J Yu,2017,http://ieeexplore.ieee.org/abstract/document/7339460/
14,Enhanced wide area monitoring system,B Luitel & GK Venayagamoorthy,2010,http://ieeexplore.ieee.org/abstract/document/5434727/
14,Speech emotion recognition using CNN,Z Huang & M Dong,2014,http://dl.acm.org/citation.cfm?id=2654984
14,Unsupervised learning of depth and motion,K Konda & R Memisevic,2013,https://arxiv.org/abs/1312.3429
13,Stochastic ratio matching of rbms for sparse high-dimensional inputs,Y Dauphin & Y Bengio,2013,http://papers.nips.cc/paper/5022-stochastic-ratio-matching-of-rbms-for-sparse-high-dimensional-inputs
13,A learning technique for deep belief neural networks,V Golovko,2014,http://link.springer.com/10.1007/978-3-319-08201-1_13
13,Procedural modeling using autoencoder networks,R Mech & LB Kara,2015,http://dl.acm.org/citation.cfm?id=2807448
13,A bag of semantic words model for medical content-based retrieval,S Liu & W Cai,2013,http://rp-www.cs.usyd.edu.au/~tomc/selected-publications/MICCAI-2013-Workshop-MCBR-CDS-LCSPKF.pdf
13,Missing sensors restoration for system control and diagnostics,RJ Marks,2003,http://ieeexplore.ieee.org/abstract/document/1234597/
13,Using an autoencoder with deformable templates to discover features for automated speech recognition.,N Jaitly & GE Hinton,2013,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.369.2173&rep=rep1&type=pdf
12,Filling in the gap: a general method using neural networks,,2010,http://ieeexplore.ieee.org/abstract/document/5738007/
12,Learning semantic representation with neural networks for community question answering retrieval,W Wu,2016,http://www.sciencedirect.com/science/article/pii/S0950705115004207
12,Deep learning network for blind image quality assessment,G Zhai & X Yang,2014,http://ieeexplore.ieee.org/abstract/document/7025102/
12,On latent fingerprint minutiae extraction using stacked denoising sparse autoencoders,A Sankaran et al.,2014,http://ieeexplore.ieee.org/abstract/document/6996300/
12,Sparse auto-encoder based feature learning for human body detection in depth image,SZ Su et al.,2015,http://www.sciencedirect.com/science/article/pii/S0165168414005052
